asset,source,ticker
BANKBEES,yfinance,BANKBEES.NS
BSLGOLDETF,yfinance,BSLGOLDETF.NS
BSLNIFTY,yfinance,BSLNIFTY.NS
CONSUMBEES,yfinance,CONSUMBEES.NS
CPSEETF,yfinance,CPSEETF.NS
GOLDBEES,yfinance,GOLDBEES.NS
HNGSNGBEES,yfinance,HNGSNGBEES.NS
IDFNIFTYET,yfinance,IDFNIFTYET.NS
IVZINGOLD,yfinance,IVZINGOLD.NS
IVZINNIFTY,yfinance,IVZINNIFTY.NS
JUNIORBEES,yfinance,JUNIORBEES.NS
KOTAKBKETF,yfinance,KOTAKBKETF.NS
KOTAKGOLD,yfinance,KOTAKGOLD.NS
KOTAKNIFTY,yfinance,KOTAKNIFTY.NS
KOTAKNV20,yfinance,KOTAKNV20.NS
KOTAKPSUBK,yfinance,KOTAKPSUBK.NS
LICMFGOLD,yfinance,LICMFGOLD.NS
LICNETFGSC,yfinance,LICNETFGSC.NS
LICNETFN50,yfinance,LICNETFN50.NS
LICNETFSEN,yfinance,LICNETFSEN.NS
LICNFNHGP,yfinance,LICNFNHGP.NS
LIQUIDBEES,yfinance,LIQUIDBEES.NS
MOM100,yfinance,MOM100.NS
MON100,yfinance,MON100.NS
NIFTYBEES,yfinance,NIFTYBEES.NS
PSUBNKBEES,yfinance,PSUBNKBEES.NS
QNIFTY,yfinance,QNIFTY.NS
SETF10GILT,yfinance,SETF10GILT.NS
SETFGOLD,yfinance,SETFGOLD.NS
SETFNIF50,yfinance,SETFNIF50.NS
SETFNIFBK,yfinance,SETFNIFBK.NS
SETFNN50,yfinance,SETFNN50.NS
SHARIABEES,yfinance,SHARIABEES.NS
UTINIFTETF,yfinance,UTINIFTETF.NS
UTISENSETF,yfinance,UTISENSETF.NS
